word	positive	neutral	negative
😆	0.5641509433962264	0.2811320754716981	0.15471698113207547
😝	0.5551102204408818	0.312625250501002	0.13226452905811623
😪	0.35051546391752575	0.21855670103092784	0.4309278350515464
�	0.25263157894736843	0.5810526315789474	0.16631578947368422
😫	0.3404255319148936	0.17446808510638298	0.4851063829787234
😅	0.47096774193548385	0.23655913978494625	0.2924731182795699
👊	0.4924078091106291	0.24295010845986983	0.2646420824295011
💀	0.26143790849673204	0.2701525054466231	0.4684095860566449
😀	0.6538461538461539	0.26018099547511314	0.08597285067873303
😚	0.7587822014051522	0.1920374707259953	0.04918032786885246
😻	0.6880952380952381	0.24285714285714285	0.06904761904761905
©	0.24821002386634844	0.6205250596658711	0.13126491646778043
👀	0.29055690072639223	0.48184019370460046	0.22760290556900725
💘	0.7311557788944724	0.22110552763819097	0.04773869346733668
🐓	0.13695090439276486	0.7545219638242894	0.10852713178294573
☕	0.38441558441558443	0.4753246753246753	0.14025974025974025
👋	0.5714285714285714	0.2701298701298701	0.15844155844155844
✋	0.4540682414698163	0.2178477690288714	0.32808398950131235
🎊	0.7786885245901639	0.16393442622950818	0.05737704918032787
🍕	0.4732394366197183	0.4704225352112676	0.056338028169014086
❄	0.6051136363636364	0.29545454545454547	0.09943181818181818
😥	0.438953488372093	0.2441860465116279	0.3168604651162791
😕	0.20408163265306123	0.19533527696793002	0.6005830903790087
💥	0.21987951807228914	0.7078313253012049	0.07228915662650602
💔	0.2930513595166163	0.2930513595166163	0.41389728096676737
😤	0.2696969696969697	0.2515151515151515	0.47878787878787876
😈	0.4695121951219512	0.32621951219512196	0.20426829268292682
►	0.2865853658536585	0.5884146341463414	0.125
✈	0.4584615384615385	0.49846153846153846	0.043076923076923075
🔝	0.5620915032679739	0.34967320261437906	0.08823529411764706
😰	0.4163934426229508	0.14754098360655737	0.4360655737704918
⚽	0.6688741721854304	0.2781456953642384	0.052980132450331126
😑	0.20198675496688742	0.2847682119205298	0.5132450331125827
👑	0.7375415282392026	0.21926910299003322	0.04318936877076412
😹	0.4395973154362416	0.26174496644295303	0.2986577181208054
👉	0.4610169491525424	0.46779661016949153	0.0711864406779661
🍃	0.47959183673469385	0.41836734693877553	0.10204081632653061
🎁	0.8006872852233677	0.15807560137457044	0.041237113402061855
