word    sentiment
amorphously	0.025
amorphousness	0.075
amort	-0.525
amortise	0.125
amortised	-0.05
amortises	0.025
amortizable	0.125
amortization	0.15
amortizations	0.05
amortize	-0.025
amortized	0.2
amortizes	0.15
amortizing	0.2
amusable	0.175
amuse	0.425
amused	0.45
amusedly	0.55
amusement	0.375
amusements	0.375
amuser	0.275
amusers	0.325
amuses	0.425
amusia	0.075
amusias	-0.1
amusing	0.4
amusingly	0.2
amusingness	0.45
amusive	0.425
anger	-0.675
angered	-0.575
angering	-0.55
angerly	-0.475
angers	-0.575
angrier	-0.575
angriest	-0.775
angrily	-0.45
angriness	-0.425
angry	-0.575
anguish	-0.725
anguished	-0.45
anguishes	-0.525
anguishing	-0.675
animosity	-0.475
annoy	-0.475
annoyance	-0.325
annoyances	-0.45
annoyed	-0.4
annoyer	-0.55
annoyers	-0.375
annoying	-0.425
annoys	-0.45
antagonism	-0.475
antagonisms	-0.3
antagonist	-0.475
antagonistic	-0.425
antagonistically	-0.55
antagonists	-0.425
antagonize	-0.5
antagonized	-0.35
antagonizes	-0.125
antagonizing	-0.675
anti	-0.325
anticipation	0.1
anxieties	-0.15
anxiety	-0.175
anxious	-0.25
anxiously	-0.225
anxiousness	-0.25
aok	0.5
apathetic	-0.3
apathetically	-0.1
apathies	-0.15
apathy	-0.3
apeshit	-0.225
apocalyptic	-0.85
apologise	0.4
apologised	0.1
apologises	0.2
apologising	0.05
apologize	0.1
apologized	0.325
apologizes	0.375
apologizing	-0.075
apology	0.05
appall	-0.6
appalled	-0.5
appalling	-0.375
appallingly	-0.5
appalls	-0.475
appease	0.275
appeased	0.225
appeases	0.225
appeasing	0.25
applaud	0.5
applauded	0.375
applauding	0.525
applauds	0.35
applause	0.45
appreciate	0.425
appreciated	0.575
appreciates	0.575
appreciating	0.475
appreciation	0.575
appreciations	0.425
appreciative	0.65
appreciatively	0.45
appreciativeness	0.4
appreciator	0.65
appreciators	0.375
appreciatory	0.425
apprehensible	0.275
apprehensibly	-0.05
apprehension	-0.525
apprehensions	-0.225
apprehensively	-0.075
apprehensiveness	-0.175
approval	0.525
approved	0.45
approves	0.425
ardent	0.525
arguable	-0.25
arguably	-0.25
argue	-0.35
argued	-0.375
arguer	-0.4
arguers	-0.35
argues	-0.4
arguing	-0.5
argument	-0.375
argumentative	-0.375
argumentatively	-0.45
argumentive	-0.375
arguments	-0.425
arrest	-0.35
arrested	-0.525
arrests	-0.475
arrogance	-0.6
arrogances	-0.475
arrogant	-0.55
arrogantly	-0.45
ashamed	-0.525
ashamedly	-0.425
ass	-0.625
assassination	-0.725
assassinations	-0.675
assault	-0.7
assaulted	-0.6
assaulting	-0.575
assaultive	-0.7
assaults	-0.625
asset	0.375
assets	0.175
assfucking	-0.625
assholes	-0.7
assurance	0.35
assurances	0.35
assure	0.35
assured	0.375
assuredly	0.4
assuredness	0.35
assurer	0.225
assurers	0.275
assures	0.325
assurgent	0.325
assuring	0.4
assuror	0.125
assurors	0.175
astonished	0.4
astound	0.425
astounded	0.45
astounding	0.45
astoundingly	0.525
astounds	0.525
attachment	0.3
attachments	0.275
attack	-0.525
attacked	-0.5
attacker	-0.675
attackers	-0.675
attacking	-0.5
attacks	-0.475
attract	0.375
attractancy	0.225
attractant	0.325
attractants	0.35
attracted	0.45
attracting	0.525
attraction	0.5
attractions	0.45
attractive	0.475
attractively	0.55
attractiveness	0.45
attractivenesses	0.525
attractor	0.3
attractors	0.3
attracts	0.425
audacious	0.225
authority	0.075
aversion	-0.475
aversions	-0.275
aversive	-0.4
aversively	-0.2
avert	-0.175
averted	-0.075
averts	-0.1
avid	0.3
avoid	-0.3
avoidance	-0.425
avoidances	-0.275
avoided	-0.35
avoider	-0.45
avoiders	-0.35
avoiding	-0.35
avoids	-0.175
await	0.1
awaited	-0.025
awaits	0.075
award	0.625
awardable	0.6
awarded	0.425
awardee	0.45
awardees	0.3
awarder	0.225
awarders	0.325
awarding	0.475
awards	0.5
awesome	0.775
awful	-0.5
awkward	-0.15
awkwardly	-0.325
awkwardness	-0.175
axe	-0.1
axed	-0.325
backed	0.025
backing	0.025
backs	-0.05
bad	-0.625
badass	-0.15
badly	-0.525
bailout	-0.1
bamboozle	-0.375
bamboozled	-0.375
bamboozles	-0.375
ban	-0.65
banish	-0.475
bankrupt	-0.65
bankster	-0.525
banned	-0.5
bargain	0.2
barrier	-0.125
bashful	-0.025
bashfully	0.05
bashfulness	-0.2
bastard	-0.625
bastardies	-0.45
bastardise	-0.525
bastardised	-0.575
bastardises	-0.575
bastardising	-0.65
bastardization	-0.6
bastardizations	-0.525
bastardize	-0.6
bastardized	-0.5
bastardizes	-0.45
bastardizing	-0.575
bastardly	-0.675
bastards	-0.75
bastardy	-0.675
battle	-0.4
battled	-0.3
battlefield	-0.4
battlefields	-0.225
battlefront	-0.3
battlefronts	-0.2
battleground	-0.425
battlegrounds	-0.15
battlement	-0.1
battlements	-0.1
battler	-0.2
battlers	-0.05
battles	-0.4
battleship	-0.025
battleships	-0.125
battlewagon	-0.075
battlewagons	-0.125
battling	-0.275
beaten	-0.45
beatific	0.45
beating	-0.5
beaut	0.4
beauteous	0.625
beauteously	0.65
beauteousness	0.675
beautician	0.3
beauticians	0.1
beauties	0.6
beautification	0.475
beautifications	0.6
beautified	0.525
beautifier	0.425
beautifiers	0.425
beautifies	0.45
beautiful	0.725
beautifuler	0.525
beautifulest	0.65
beautifully	0.675
beautifulness	0.65
beautify	0.575
beautifying	0.575
beauts	0.425
beauty	0.7
belittle	-0.475
belittled	-0.5
beloved	0.575
benefic	0.35
benefice	0.1
beneficed	0.275
beneficence	0.7
beneficences	0.375
beneficent	0.575
beneficently	0.55
benefices	0.275
beneficial	0.475
beneficially	0.6
beneficialness	0.425
beneficiaries	0.45
beneficiary	0.525
beneficiate	0.25
beneficiation	0.1
benefit	0.5
benefits	0.4
benefitted	0.425
benefitting	0.475
benevolence	0.425
benevolences	0.475
benevolent	0.675
benevolently	0.35
benevolentness	0.3
benign	0.325
benignancy	0.15
benignant	0.55
benignantly	0.275
benignities	0.225
benignity	0.325
benignly	0.05
bereave	-0.525
bereaved	-0.525
bereaves	-0.475
bereaving	-0.325
best	0.8
betray	-0.8
betrayal	-0.7
betrayed	-0.75
betraying	-0.625
betrays	-0.625
better	0.475
bias	-0.1
biased	-0.275
bitch	-0.7
bitched	-0.65
bitcheries	-0.575
bitchery	-0.675
bitches	-0.725
bitchier	-0.5
bitchiest	-0.75
bitchily	-0.65
bitchiness	-0.65
bitching	-0.275
bitchy	-0.575
bitter	-0.45
bitterbrush	-0.05
bitterbrushes	-0.15
bittered	-0.45
bitterer	-0.475
bitterest	-0.575
bittering	-0.3
bitterish	-0.4
bitterly	-0.5
bittern	-0.05
bitterness	-0.425
bitterns	-0.1
bitterroots	-0.05
bitters	-0.1
bittersweet	-0.075
bittersweetness	-0.15
bittersweets	-0.05
bitterweeds	-0.125
bizarre	-0.325
blah	-0.1
blam	-0.05
blamable	-0.45
blamably	-0.45
blame	-0.35
blamed	-0.525
blameful	-0.425
blamefully	-0.4
blameless	0.175
blamelessly	0.225
blamelessness	0.15
blamer	-0.525
blamers	-0.5
blames	-0.425
blameworthiness	-0.4
blameworthy	-0.575
blaming	-0.55
bless	0.45
blessed	0.725
blesseder	0.5
blessedest	0.7
blessedly	0.425
blessedness	0.4
blesser	0.65
blessers	0.475
blesses	0.65
blessing	0.55
blessings	0.625
blind	-0.425
bliss	0.675
blissful	0.725
blithe	0.3
block	-0.475
blockbuster	0.725
blocked	-0.275
blocking	-0.4
blocks	-0.225
bloody	-0.475
blurry	-0.1
bold	0.4
bolder	0.3
boldest	0.4
boldface	0.075
boldfaced	-0.025
boldfaces	0.025
boldfacing	0.025
boldly	0.375
boldness	0.375
boldnesses	0.225
bolds	0.325
bomb	-0.55
bonus	0.625
bonuses	0.65
boost	0.425
boosted	0.375
boosting	0.35
boosts	0.325
bore	-0.25
boreal	-0.075
borecole	-0.05
borecoles	-0.075
bored	-0.275
boredom	-0.325
boredoms	-0.275
boreen	0.025
boreens	0.05
boreholes	-0.05
borer	-0.1
borers	-0.3
bores	-0.325
borescopes	-0.025
boresome	-0.325
boring	-0.325
bother	-0.35
botheration	-0.425
botherations	-0.325
bothered	-0.325
bothering	-0.4
bothers	-0.2
bothersome	-0.325
boycott	-0.325
boycotted	-0.425
boycotting	-0.425
boycotts	-0.35
brainwashing	-0.375
brave	0.6
braved	0.475
bravely	0.575
braver	0.6
braveries	0.5
bravery	0.55
braves	0.475
bravest	0.575
breathtaking	0.5
bribe	-0.2
bright	0.475
brighten	0.475
brightened	0.525
brightener	0.25
brighteners	0.25
brightening	0.625
brightens	0.375
brighter	0.4
brightest	0.75
brightly	0.375
brightness	0.4
brightnesses	0.35
brights	0.1
brightwork	0.275
brilliance	0.725
brilliances	0.725
brilliancies	0.575
brilliancy	0.65
brilliant	0.7
brilliantine	0.2
brilliantines	0.5
brilliantly	0.75
brilliants	0.475
brisk	0.15
broke	-0.45
broken	-0.525
brooding	0.025
brutal	-0.775
brutalise	-0.675
brutalised	-0.725
brutalises	-0.8
brutalising	-0.7
brutalities	-0.65
brutality	-0.75
brutalization	-0.525
brutalizations	-0.575
brutalize	-0.725
brutalized	-0.6
brutalizes	-0.8
brutalizing	-0.85
brutally	-0.75
bullied	-0.775
bullshit	-0.7
bully	-0.55
bullying	-0.725
bummer	-0.4
buoyant	0.225
burden	-0.475
burdened	-0.425
burdener	-0.325
burdeners	-0.425
burdening	-0.35
burdens	-0.375
burdensome	-0.45
bwahaha	0.1
bwahahah	0.625
calm	0.325
calmative	0.275
calmatives	0.125
calmed	0.4
calmer	0.375
calmest	0.4
calming	0.425
calmly	0.325
calmness	0.425
calmnesses	0.4
calmodulin	0.05
calms	0.325
can't stand	-0.5
cancel	-0.25
cancelled	-0.25
cancelling	-0.2
cancels	-0.225
cancer	-0.85
capable	0.4
captivated	0.4
care	0.55
cared	0.45
carefree	0.425
careful	0.15
carefully	0.125
carefulness	0.5
careless	-0.375
carelessly	-0.25
carelessness	-0.35
carelessnesses	-0.4
cares	0.5
caring	0.55
casual	0.2
casually	0.175
casualty	-0.6
catastrophe	-0.85
catastrophic	-0.55
cautious	-0.1
celebrate	0.675
celebrated	0.675
celebrates	0.675
celebrating	0.675
censor	-0.5
censored	-0.15
censors	-0.3
certain	0.275
certainly	0.35
certainties	0.225
certainty	0.25
chagrin	-0.475
chagrined	-0.35
challenge	0.075
challenged	-0.1
challenger	0.125
challengers	0.1
challenges	0.075
challenging	0.15
challengingly	-0.15
champ	0.525
champac	-0.05
champagne	0.3
champagnes	0.125
champaign	0.05
champaigns	0.125
champaks	-0.05
champed	0.25
champer	-0.025
champers	0.125
champerties	-0.025
champertous	0.075
champerty	-0.05
champignon	0.1
champignons	0.05
champing	0.175
champion	0.725
championed	0.3
championing	0.45
champions	0.6
championship	0.475
championships	0.55
champs	0.45
champy	0.25
chance	0.25
chances	0.2
chaos	-0.675
chaotic	-0.55
charged	-0.2
charges	-0.275
charitable	0.425
charitableness	0.475
charitablenesses	0.4
charitably	0.35
charities	0.55
charity	0.45
charm	0.425
charmed	0.5
charmer	0.475
charmers	0.525
charmeuse	0.075
charmeuses	0.1
charming	0.7
charminger	0.375
charmingest	0.6
charmingly	0.55
charmless	-0.45
charms	0.475
chastise	-0.625
chastised	-0.55
chastises	-0.425
chastising	-0.425
cheat	-0.5
cheated	-0.575
cheater	-0.625
cheaters	-0.475
cheating	-0.65
cheats	-0.45
cheer	0.575
cheered	0.575
cheerer	0.425
cheerers	0.45
cheerful	0.625
cheerfuller	0.475
cheerfullest	0.8
cheerfully	0.525
cheerfulness	0.525
cheerier	0.65
cheeriest	0.55
cheerily	0.625
cheeriness	0.625
cheering	0.575
cheerio	0.3
cheerlead	0.425
cheerleader	0.225
cheerleaders	0.3
cheerleading	0.3
cheerleads	0.3
cheerled	0.375
cheerless	-0.425
cheerlessly	-0.2
cheerlessness	-0.425
cheerly	0.6
cheers	0.525
cheery	0.65
cherish	0.4
cherishable	0.5
cherished	0.575
cherisher	0.55
cherishers	0.475
cherishes	0.55
cherishing	0.5
chic	0.275
childish	-0.3
chilling	-0.025
choke	-0.625
choked	-0.525
chokes	-0.5
choking	-0.5
chuckle	0.425
chuckled	0.3
chucklehead	-0.475
chuckleheaded	-0.325
chuckleheads	-0.275
chuckler	0.2
chucklers	0.3
chuckles	0.275
chucklesome	0.275
chuckling	0.35
chucklingly	0.3
clarifies	0.225
clarity	0.425
classy	0.475
clean	0.425
cleaner	0.175
clear	0.4
cleared	0.1
clearly	0.425
clears	0.075
clever	0.5
cleverer	0.5
cleverest	0.65
cleverish	0.25
cleverly	0.575
cleverness	0.575
clevernesses	0.35
clouded	-0.05
clueless	-0.375
cock	-0.15
cocksucker	-0.775
cocksuckers	-0.65
cocky	-0.125
coerced	-0.375
collapse	-0.55
collapsed	-0.275
collapses	-0.3
collapsing	-0.3
collide	-0.075
collides	-0.275
colliding	-0.125
collision	-0.375
collisions	-0.275
colluding	-0.3
combat	-0.35
combats	-0.2
comedian	0.4
comedians	0.3
comedic	0.425
comedically	0.525
comedienne	0.15
comediennes	0.4
comedies	0.425
comedo	0.075
comedones	-0.2
comedown	-0.2
comedowns	-0.225
comedy	0.375
comfort	0.375
comfortable	0.575
comfortableness	0.325
comfortably	0.45
comforted	0.45
comforter	0.475
comforters	0.3
comforting	0.425
comfortingly	0.425
comfortless	-0.45
comforts	0.525
commend	0.475
commended	0.475
commit	0.3
commitment	0.4
commitments	0.125
commits	0.025
committed	0.275
committing	0.075
compassion	0.5
compassionate	0.55
compassionated	0.4
compassionately	0.425
compassionateness	0.225
compassionates	0.4
compassionating	0.4
compassionless	-0.65
compelled	0.05
compelling	0.225
competent	0.325
competitive	0.175
complacent	-0.075
complain	-0.375
complainant	-0.175
complainants	-0.275
complained	-0.425
complainer	-0.45
complainers	-0.325
complaining	-0.2
complainingly	-0.425
complains	-0.4
complaint	-0.3
complaints	-0.425
compliment	0.525
complimentarily	0.425
complimentary	0.475
complimented	0.45
complimenting	0.575
compliments	0.425
comprehensive	0.25
conciliate	0.25
conciliated	0.275
conciliates	0.275
conciliating	0.325
condemn	-0.4
condemnation	-0.7
condemned	-0.475
condemns	-0.575
confidence	0.575
confident	0.55
confidently	0.525
conflict	-0.325
conflicting	-0.425
conflictive	-0.45
conflicts	-0.4
confront	-0.175
confrontation	-0.325
confrontational	-0.4
confrontationist	-0.25
confrontationists	-0.3
confrontations	-0.375
confronted	-0.2
confronter	-0.075
confronters	-0.325
confronting	-0.15
confronts	-0.225
confuse	-0.225
confused	-0.325
confusedly	-0.15
