word	positive	negative	neutral
--<--<@	0.6153846153846154	0.07692307692307693	0.3076923076923077
.-:	0.07692307692307693	0.23076923076923078	0.6923076923076923
..###-:	0.07692307692307693	0.46153846153846156	0.46153846153846156
..###:	0.07692307692307693	0.46153846153846156	0.46153846153846156
/-:	0.07692307692307693	0.23076923076923078	0.6923076923076923
/:	0.07692307692307693	0.3076923076923077	0.6153846153846154
/:<	0.07692307692307693	0.38461538461538464	0.5384615384615384
/=	0.07692307692307693	0.15384615384615385	0.7692307692307693
/^:	0.07692307692307693	0.23076923076923078	0.6923076923076923
/o:	0.07692307692307693	0.46153846153846156	0.46153846153846156
0-8	0.3076923076923077	0.23076923076923078	0.46153846153846156
0-|	0.07692307692307693	0.23076923076923078	0.6923076923076923
0:)	0.6153846153846154	0.07692307692307693	0.3076923076923077
0:-)	0.46153846153846156	0.07692307692307693	0.46153846153846156
0:-3	0.5384615384615384	0.07692307692307693	0.38461538461538464
0:03	0.6153846153846154	0.07692307692307693	0.3076923076923077
0;^)	0.46153846153846156	0.07692307692307693	0.46153846153846156
0_o	0.07692307692307693	0.15384615384615385	0.7692307692307693
10q	0.46153846153846156	0.07692307692307693	0.46153846153846156
1337	0.6153846153846154	0.07692307692307693	0.3076923076923077
143	0.8461538461538461	0.07692307692307693	0.07692307692307693
1432	0.8461538461538461	0.07692307692307693	0.07692307692307693
14aa41	0.7692307692307693	0.07692307692307693	0.15384615384615385
182	0.07692307692307693	0.6923076923076923	0.23076923076923078
187	0.07692307692307693	0.7692307692307693	0.15384615384615385
2g2b4g	0.8461538461538461	0.07692307692307693	0.07692307692307693
2g2bt	0.23076923076923078	0.23076923076923078	0.5384615384615384
2qt	0.6153846153846154	0.07692307692307693	0.3076923076923077
3:(	0.07692307692307693	0.6923076923076923	0.23076923076923078
3:)	0.15384615384615385	0.23076923076923078	0.6153846153846154
3:-(	0.07692307692307693	0.7692307692307693	0.15384615384615385
3:-)	0.07692307692307693	0.5384615384615384	0.38461538461538464
4col	0.07692307692307693	0.5384615384615384	0.38461538461538464
4q	0.07692307692307693	0.7692307692307693	0.15384615384615385
5fs	0.46153846153846156	0.07692307692307693	0.46153846153846156
8)	0.6153846153846154	0.07692307692307693	0.3076923076923077
8-d	0.6923076923076923	0.07692307692307693	0.23076923076923078
8-o	0.07692307692307693	0.15384615384615385	0.7692307692307693
86	0.07692307692307693	0.3076923076923077	0.6153846153846154
8d	0.8461538461538461	0.07692307692307693	0.07692307692307693
:###..	0.07692307692307693	0.6923076923076923	0.23076923076923078
:$	0.15384615384615385	0.23076923076923078	0.6153846153846154
:&	0.07692307692307693	0.23076923076923078	0.6923076923076923
:'(	0.07692307692307693	0.7692307692307693	0.15384615384615385
:')	0.7692307692307693	0.07692307692307693	0.15384615384615385
:'-(	0.07692307692307693	0.7692307692307693	0.15384615384615385
:'-)	0.7692307692307693	0.07692307692307693	0.15384615384615385
:(	0.07692307692307693	0.5384615384615384	0.38461538461538464
:)	0.46153846153846156	0.07692307692307693	0.46153846153846156
:*	0.6923076923076923	0.07692307692307693	0.23076923076923078
:-###..	0.07692307692307693	0.6923076923076923	0.23076923076923078
:-&	0.15384615384615385	0.07692307692307693	0.7692307692307693
:-(	0.07692307692307693	0.46153846153846156	0.46153846153846156
:-)	0.3076923076923077	0.07692307692307693	0.6153846153846154
:-))	0.7692307692307693	0.07692307692307693	0.15384615384615385
:-*	0.5384615384615384	0.07692307692307693	0.38461538461538464
:-,	0.23076923076923078	0.07692307692307693	0.6923076923076923
:-.	0.07692307692307693	0.15384615384615385	0.7692307692307693
:-/	0.07692307692307693	0.3076923076923077	0.6153846153846154
:-<	0.07692307692307693	0.46153846153846156	0.46153846153846156
:-d	0.8461538461538461	0.07692307692307693	0.07692307692307693
:-D	0.8461538461538461	0.07692307692307693	0.07692307692307693
:-o	0.23076923076923078	0.15384615384615385	0.6153846153846154
:-p	0.23076923076923078	0.07692307692307693	0.6923076923076923
:-[	0.07692307692307693	0.5384615384615384	0.38461538461538464
:-\	0.07692307692307693	0.07692307692307693	0.8461538461538461
:-c	0.07692307692307693	0.3076923076923077	0.6153846153846154
:-p	0.46153846153846156	0.07692307692307693	0.46153846153846156
:-|	0.07692307692307693	0.15384615384615385	0.7692307692307693
:-||	0.07692307692307693	0.8461538461538461	0.07692307692307693
:-Þ	0.3076923076923077	0.07692307692307693	0.6153846153846154
:/	0.07692307692307693	0.3076923076923077	0.6153846153846154
:3	0.5384615384615384	0.07692307692307693	0.38461538461538464
:<	0.07692307692307693	0.6923076923076923	0.23076923076923078
:>	0.46153846153846156	0.07692307692307693	0.46153846153846156
:?)	0.23076923076923078	0.07692307692307693	0.6923076923076923
:?c	0.07692307692307693	0.5384615384615384	0.38461538461538464
:@	0.07692307692307693	0.6923076923076923	0.23076923076923078
:d	0.6153846153846154	0.07692307692307693	0.3076923076923077
:D	0.6153846153846154	0.07692307692307693	0.3076923076923077
:l	0.07692307692307693	0.38461538461538464	0.5384615384615384
:o	0.15384615384615385	0.23076923076923078	0.6153846153846154
:p	0.23076923076923078	0.07692307692307693	0.6923076923076923
:s	0.07692307692307693	0.3076923076923077	0.6153846153846154
:[	0.07692307692307693	0.6923076923076923	0.23076923076923078
:\	0.07692307692307693	0.3076923076923077	0.6153846153846154
:]	0.5384615384615384	0.07692307692307693	0.38461538461538464
:^)	0.5384615384615384	0.07692307692307693	0.38461538461538464
:^*	0.7692307692307693	0.07692307692307693	0.15384615384615385
:^/	0.07692307692307693	0.3076923076923077	0.6153846153846154
:^\	0.07692307692307693	0.15384615384615385	0.7692307692307693
:^|	0.07692307692307693	0.07692307692307693	0.8461538461538461
:c	0.07692307692307693	0.6153846153846154	0.3076923076923077
:c)	0.46153846153846156	0.07692307692307693	0.46153846153846156
:o)	0.5384615384615384	0.07692307692307693	0.38461538461538464
:o/	0.07692307692307693	0.38461538461538464	0.5384615384615384
:o\	0.07692307692307693	0.15384615384615385	0.7692307692307693
:o|	0.07692307692307693	0.23076923076923078	0.6923076923076923
:P	0.38461538461538464	0.07692307692307693	0.5384615384615384
:{	0.07692307692307693	0.5384615384615384	0.38461538461538464
:|	0.15384615384615385	0.15384615384615385	0.6923076923076923
:}	0.46153846153846156	0.07692307692307693	0.46153846153846156
:Þ	0.23076923076923078	0.07692307692307693	0.6923076923076923
;)	0.3076923076923077	0.07692307692307693	0.6153846153846154
;-)	0.38461538461538464	0.23076923076923078	0.38461538461538464
;-*	0.7692307692307693	0.07692307692307693	0.15384615384615385
;-]	0.38461538461538464	0.23076923076923078	0.38461538461538464
;d	0.3076923076923077	0.15384615384615385	0.5384615384615384
;D	0.3076923076923077	0.15384615384615385	0.5384615384615384
